Item,Cost,Link,Place and Time
arzon \elektricheskiy shtablyor HELLI   \электрический штабелер helli,39 792 578 сумДоговорная,https://www.olx.uz/d/obyavlenie/arzon-elektricheskiy-shtablyor-helli-elektricheskiy-shtabeler-helli-ID3LRzI.html,"Ташкент, Алмазарский район - Сегодня в 09:14"
Kater sotiladi Yamaha 25,102 032 252 сумДоговорная,https://www.olx.uz/d/obyavlenie/kater-sotiladi-yamaha-25-ID44GD5.html,Чарвак - Сегодня в 08:33
Булдозр САТ.Д6Я сотилади,1 658 024 088 сум,https://www.olx.uz/d/obyavlenie/buldozr-sat-d6ya-sotiladi-ID44iE1.html,Наманган - Сегодня в 07:31
"Таблетка, ватрушка! Водный аттракцион!",10 203 225 сум,https://www.olx.uz/d/obyavlenie/tabletka-vatrushka-vodnyy-attraktsion-ID3YntK.html,"Ташкент, Сергелийский район - Сегодня в 07:26"
rolik sotiladi uzunligi 31 sm diametir 100 ozgina ishlagan 12 ta dona,750 000 сум,https://www.olx.uz/d/obyavlenie/rolik-sotiladi-uzunligi-31-sm-diametir-100-ozgina-ishlagan-12-ta-dona-ID3Kqh1.html,Ташморе - Сегодня в 06:44
Продаётся Гидроцикл,91 829 026 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-gidrotsikl-ID43Ehg.html,Чарвак - 15 июня 2025 г.
Катер Bayliner 210 Deck bots реальной покупка уступка есть,510 161 258 сумДоговорная,https://www.olx.uz/d/obyavlenie/kater-bayliner-210-deck-bots-realnoy-pokupka-ustupka-est-ID40HCf.html,Ташморе - 13 июня 2025 г.
"Продаётся лодка капитан  пвх 2х местная, Продаётся Россия с транцем по",4 200 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-lodka-kapitan-pvh-2h-mestnaya-prodaetsya-rossiya-s-trantsem-po-ID3eIL6.html,"Ташкент, Сергелийский район - 15 июня 2025 г."
Toyama mator sotiladi 3.6.,7 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/toyama-mator-sotiladi-3-6-ID41dPc.html,Ургенч - Сегодня в 05:58
Продаётся Катер 2016 года в хорошим состоянии.Мотор Ямаха 300 л.с,650 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-kater-2016-goda-v-horoshim-sostoyanii-motor-yamaha-300-l-s-ID43Vk0.html,Чарвак - Сегодня в 05:35
Катер  Lavex 510 . Длина 5.1 м ширина 2.2 м . Мотор selva 80 2 такт,89 278 220 сумДоговорная,https://www.olx.uz/d/obyavlenie/kater-lavex-510-dlina-5-1-m-shirina-2-2-m-motor-selva-80-2-takt-ID3P9AA.html,"Ташкент, Мирабадский район - Сегодня в 05:06"
Lotka matori bilan sotiladi Amerikadan kelgan,15 304 838 сумДоговорная,https://www.olx.uz/d/obyavlenie/lotka-matori-bilan-sotiladi-amerikadan-kelgan-ID3TGVP.html,Зиадин - Сегодня в 04:48
Kafolay 1 oy davomida,80 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/kafolay-1-oy-davomida-ID3EtRW.html,Гузар - Сегодня в 02:07
Термометр с гилзой механический,88 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/termometr-s-gilzoy-mehanicheskiy-ID3PVg0.html,"Ташкент, Бектемирский район - Сегодня в 01:25"
Продам гидроцикл seadoo gtx limited 215,153 048 377 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-gidrotsikl-seadoo-gtx-limited-215-ID44kFJ.html,"Ташкент, Мирзо-Улугбекский район - 15 июня 2025 г."
Продам гидроцикл seadoo rxp x 255,140 294 346 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-gidrotsikl-seadoo-rxp-x-255-ID44kFl.html,Газалкент - 15 июня 2025 г.
Продам яхту maxum 2400scr,1 275 403 144 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-yahtu-maxum-2400scr-ID3WV3T.html,"Ташкент, Мирабадский район - 15 июня 2025 г."
Mors bochka sotladi,10 203 225 сумДоговорная,https://www.olx.uz/d/obyavlenie/mors-bochka-sotladi-ID3EtHn.html,"Ташкент, Чиланзарский район - 15 июня 2025 г."
Продаётся/Sotiladi Лодочный мотор Honda BF40,127 540 314 сум,https://www.olx.uz/d/obyavlenie/prodaetsya-sotiladi-lodochnyy-motor-honda-bf40-ID2AJ8v.html,"Ташкент, Чиланзарский район - 14 июня 2025 г."
Продаются лодка новая пвх. МуссонМуссонДлина 2м40см производства Росси,3 200 000 сум,https://www.olx.uz/d/obyavlenie/prodayutsya-lodka-novaya-pvh-mussonmussondlina-2m40sm-proizvodstva-rossi-ID2QGC1.html,"Ташкент, Сергелийский район - 15 июня 2025 г."
Надувная советская лодка Чаткал,3 188 508 сумДоговорная,https://www.olx.uz/d/obyavlenie/naduvnaya-sovetskaya-lodka-chatkal-ID2P7b9.html,"Ташкент, Яшнабадский район - 15 июня 2025 г."
Винты  на лодочный мотор,380 000 сум,https://www.olx.uz/d/obyavlenie/vinty-na-lodochnyy-motor-ID3WiEh.html,"Ташкент, Яшнабадский район - 15 июня 2025 г."
"Надувная лодка ""Mariner 3"" 297х127х46см, алюм.вёсла 137см, насос 68605",4 080 000 сум,https://www.olx.uz/d/obyavlenie/naduvnaya-lodka-mariner-3-297h127h46sm-alyum-vesla-137sm-nasos-68605-ID3wHEC.html,"Ташкент, Чиланзарский район - 15 июня 2025 г."
Минитрактор зубр,446 391 101 сумДоговорная,https://www.olx.uz/d/obyavlenie/minitraktor-zubr-ID3Et24.html,Пайшанба - 15 июня 2025 г.
Tahatsu 18 suv matori,34 435 885 сумДоговорная,https://www.olx.uz/d/obyavlenie/tahatsu-18-suv-matori-ID44Emh.html,Янгикишлак - 15 июня 2025 г.
топливной бак лодочного мотора,800 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/toplivnoy-bak-lodochnogo-motora-ID3A5YU.html,"Ташкент, Чиланзарский район - 15 июня 2025 г."
"Воронеж 100%original,Коктейль Аппарат,сокоохлодитель,шарбат, Фрейзер а",2 295 726 сум,https://www.olx.uz/d/obyavlenie/voronezh-100-original-kokteyl-apparat-sokoohloditel-sharbat-freyzer-a-ID42VMh.html,"Ташкент, Мирабадский район - 15 июня 2025 г."
